current_remote_work_time,preferred_remote_work_time,remote_collaboration_ease,remote_work_productivity,remote_prep_commute_time,remote_personal_time,remote_work_time,office_personal_time,office_prep_commute_time,office_work_time
90.0,90.0,4.0,1.5,0.5,3.5,8.0,2.0,2.0,8.0
20.0,20.0,4.0,0.8,0.0,3.0,7.0,3.0,2.0,7.0
50.0,60.0,4.0,0.9,5.0,7.0,2.0,6.0,6.0,1.0
100.0,100.0,5.0,1.0,0.0,3.0,9.0,1.0,1.0,9.0
90.0,60.0,4.0,1.2,0.0,15.0,6.0,13.0,1.0,8.0
70.0,50.0,5.0,1.0,0.0,3.0,7.0,2.0,1.0,8.0
100.0,90.0,5.0,1.5,0.0,5.0,8.0,4.0,2.0,8.0
90.0,80.0,5.0,0.7,0.4,4.0,6.0,4.0,1.0,8.0
60.0,20.0,4.0,1.3,0.0,13.0,8.0,12.0,0.0,8.0
40.0,50.0,3.0,0.8,1.0,6.0,8.5,4.0,3.0,8.5
100.0,70.0,5.0,1.0,0.5,5.0,8.0,3.0,3.0,8.0
100.0,50.0,4.0,1.1,0.5,4.0,12.0,3.0,2.0,10.0
100.0,50.0,5.0,0.9,0.0,2.0,9.0,1.0,2.0,8.0
80.0,80.0,4.0,1.5,0.0,5.0,13.0,4.0,1.0,12.0
50.0,50.0,4.0,1.0,0.5,4.0,5.0,3.0,1.0,5.0
100.0,80.0,4.0,1.0,0.5,6.0,9.0,4.0,2.5,8.0
80.0,50.0,4.0,1.5,0.25,2.0,9.0,2.0,0.5,8.0
10.0,40.0,2.0,0.7,1.0,2.0,12.0,2.0,3.0,10.0
30.0,50.0,5.0,1.5,0.0,8.0,5.0,8.0,0.5,4.0
10.0,40.0,4.0,1.5,0.5,1.5,8.0,1.0,2.0,8.0
100.0,90.0,4.0,1.0,0.5,4.0,8.0,2.0,3.0,8.0
90.0,60.0,4.0,1.3,0.5,9.5,9.0,9.0,2.0,7.0
80.0,50.0,3.0,1.2,1.0,2.0,7.5,4.0,1.5,7.5
20.0,50.0,4.0,1.4,0.0,12.0,8.0,10.0,2.0,8.0
90.0,70.0,4.0,1.3,1.0,5.0,11.0,3.0,3.0,10.0
10.0,10.0,1.0,0.7,0.0,10.0,10.0,10.0,2.0,10.0
80.0,40.0,4.0,0.9,0.0,1.0,8.0,0.5,2.0,6.0
80.0,100.0,4.0,1.0,0.5,10.0,6.0,8.0,0.5,6.0
30.0,30.0,3.0,1.3,1.0,6.0,8.0,5.0,1.0,8.0
100.0,60.0,5.0,1.3,0.0,5.0,8.0,4.0,2.0,8.0
80.0,60.0,4.0,0.9,0.0,4.0,9.5,3.0,1.0,8.5
100.0,80.0,5.0,1.2,0.0,3.5,9.5,3.5,4.0,8.5
90.0,30.0,1.0,0.7,1.0,5.0,10.0,8.0,2.0,8.0
100.0,50.0,4.0,1.3,1.0,2.0,8.0,2.0,1.0,6.0
90.0,60.0,4.0,1.0,0.0,4.0,8.0,3.0,0.5,8.0
20.0,10.0,4.0,1.0,0.5,5.0,9.0,4.0,1.5,9.0
50.0,50.0,5.0,1.3,0.0,2.0,12.0,2.0,1.0,10.0
40.0,10.0,4.0,1.3,0.5,3.0,12.0,2.0,1.0,12.0
60.0,40.0,4.0,0.8,1.0,5.0,9.0,4.0,3.0,8.0
